source1_entity_id	s1_name	s1_normalized_name	s1_address	s1_country	matched_entity_id	matched_name	matched_normalized_name	matched_address	matched_country
S1-512702728	1282 Seventh Avenue Owners Corp, LLC	1282 seventh avenue owners corp llc	Mobile, AL, 3705 Longridge Drive	US	S2-329462507	L.L.C. 1282 SEVENTH AVENUE OWNERS CORP,	l l c 1282 seventh avenue owners corp	3705 LONGRIDGE DRIVE, MOBILE, AL	US
S1-533780046	Future It Private Limited	future it private limited	3Rd Floor, Da-4, Shakarpur, Vikas Marg, New Delhi, Delhi	India	S3-319490030	फ्यूचर आईटी प्राइवेट लिमिटेड	फ य चर आईट प र इव ट ल म ट ड	Door No 3Rd Floor, Vikas Marg, New Delhi, DL	India
S1-434240084	Rosoft Certified Onfolio LLC	rosoft certified onfolio llc	8210 8, Lexington, NC	US	S3-679134841	Rosoft Certified Onfolio Llc [Llc]	rosoft certified onfolio llc llc	8210 8, Lexington, North Carolina	US
S1-950141551	Coastal Investments	coastal investments	61 Winter Lane, Dover, AR	US	S3-535374522	@coastalinvestments	coastalinvestments	138 Winter Ln, Dover, Arkansas	US
S1-359976342	Vyshnavi Marketing Pvt. Ltd.	vyshnavi marketing pvt ltd	2316, Arya Samaj Road, Patna, Bihar	India	S3-755661422	Ltd. Vyshnavi Pvt. Partners	ltd vyshnavi pvt partners	No. 44 2316, Patna, Arya Samaj Road, BR	India
S1-141463312	Ambassador Residency (India) Corp	ambassador residency india corp	4 Om Ratan Pochkhanawala Road Worli Mumbai, Mumbai, Mumbai City, Maharashtra	India	S3-192673343	Ambassador Residency Corp (Center)	ambassador residency corp center	No 4 Om Ratan Pochkhanawala Road Worli Mumbai, Mumbai, Mumbai City, MH	India
S1-217078195	Mcpherson, Deem & Hanes Babcock LLC	mcpherson deem hanes babcock llc	9713 Fox Run Drive, Clinton, MD	US	S2-112665313	MCPHERSON, DEEM-& HANES	mcpherson deem hanes	9713. FOX RUN DR, CLINTON, MD	US
S1-367718792	Good Consulting Pvt Ltd	good consulting pvt ltd	Plot No.290, Srivalli'S Corporate, Road No.6, Kakatiya Hills, Madhapur, Hyderabad, Rangareddy, Telangana	India	S3-857115020	Good Consulting	good consulting	Plot No.##290, Rangareddy, Hyderabad, TG	India
S1-343304302	Interactive	interactive	4563 Legion Road, Hope Mills, NC	US	S2-809243104	ÍNTERACTIVE	ínteractive	HOPE MILL SCITY, 4563 LEGION ROAD, NC, <NULL>	US
S1-301910956	Solapur (india) Limited	solapur india limited	Regus Chennai Citi Centre, Chennai Citicentre, Level 6, 10/11, Dr Radhakrishnan Salai, My, Lapore, Chennai, Tamil Nadu	India	S3-162304738	Ectoaria DBA Solapur (india) Limited	ectoaria dba solapur india limited	Regus Chennai Citi Centre, Chennai Citicentre, Level 6, 10/11, Dr Radhakrishnan Salai, My, Lapore, Chennai, Tamil Nadu	India
S1-788314738	Nessa Seyer, D.C., P.C.	nessa seyer d c p c	308 East Road, Ephratah, NY	US	S3-398145710	Nessa Seyer,	nessa seyer	308 East Road, Ephratah, New York	US
S1-623788734	Sadguru Realestate Private Limited	sadguru realestate private limited	161, Sfs Dda Flats, Punjabi Bagh Apartment, Madipur, New Delhi, West Delhi, Delhi	India	S2-946419905	Sri Sadguru Realestate Limited Center	sri sadguru realestate limited center	Delhi, 161, SFS DDA FLATS, PUNJABI BAGH APARTMENT, MADIPUR, NEW DELHI	India
S1-354795244	Martinez Smart Top, LP	martinez smart top lp	1930 Yonder Road, Frankfort, KS	US	S2-231809306	MARTINEZ SMART TOP, (INC)	martinez smart top inc	1930 YONDER RD, KS, FRANKKFORT	US
S1-176755845	Deangelis Preparatory Academy	deangelis preparatory academy	Carthage, MO, 1900 County Lane 148	US	S3-553430062	Deangelispreparatoryacademy.Com	deangelispreparatoryacademy com	1900a County Lane 148, Carthage, Missouri	US
S1-245831636	Kulkarni Water Ltd	kulkarni water ltd	Shop No 123 Sector 5Near Subzi Mandi Nit Faridabad, Haryana, Faridabad, Haryana	India	S3-300134779	Partners Kulkarni Ltd	partners kulkarni ltd	No 123 Sector 5Near Subzi Mandi Nit Faridabad, Haryana, Faridabad, हरियाणा	India
S1-172176586	Lucknow Remedies Private Limited	lucknow remedies private limited	Hamid Complex, First Floor, Khurram Nagar Chauraha, Lucknow, Uttar Pradesh	India	S2-977990647	Luckn0w Luckn0w Remedies Private Limited	luckn0w luckn0w remedies private limited	Uttar Pradesh, HAMID COMPLEX, FIRST FLOOR, KHURRAM NAGAR CHAURAHA, LUCKNOW	India
S1-916600093	Trent Unified Wilco LP	trent unified wilco lp	13890 River Road, Walnut Grove, CA	US	S2-922313822	Trent Unified Wilc0 LP	trent unified wilc0 lp	13890 RIVER ROAD, WALNUT GROVE, CA	US
S1-431277490	Anchor Direct Software Inc	anchor direct software inc	11 Railroad Street, Pataskala, OH	US	S3-456786848	Anchor Direct Software	anchor direct software	11 1/2 Railroad St, Pataskalac ITY, Ohio	US
S1-629367828	Tatom Trusted Averin Inc.	tatom trusted averin inc	615 Tennessee Avenue, Selmer, TN	US	S3-29673739	Tatom Averin Inc. (Center)	tatom averin inc center	852 Tennessee Ave, Selmer, Tennessee	US
